Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies,cover_url,cover_path
11295292,ഫ്രാൻസിസ് ഇട്ടിക്കോര | Francis Itty Cora,T.D. Ramakrishnan,"Ramakrishnan, T.D.",,"=""""","=""9788126424580""",0,3.7,DC Books,Paperback,308.0,2009.0,2009.0,,2021/06/26,currently-reading,currently-reading (#1),currently-reading,,,,1,0,,
17251583,പരിണാമം | Parinámam,M.P. Narayana Pillai,"Pillai, M.P. Narayana",,"=""8171303226""","=""9788171303229""",5,4.14,DC Books,Paperback,480.0,2014.0,1989.0,2021/06/26,2021/06/08,,,read,,,,1,0,https://m.media-amazon.com/images/S/compressed.photo.goodreads.com/books/1499440383i/17251583.jpg,images/book-cover/8171303226.jpg
15751404,"David and Goliath: Underdogs, Misfits, and the Art of Battling Giants",Malcolm Gladwell,"Gladwell, Malcolm",,"=""0316204366""","=""9780316204361""",4,3.97,"Little, Brown and Company",Hardcover,305.0,2013.0,2013.0,2021/06/24,2020/09/14,,,read,,,,1,0,https://m.media-amazon.com/images/S/compressed.photo.goodreads.com/books/1391813567i/15751404.jpg,images/book-cover/0316204366.jpg
64369,Mindfulness in Plain English,Henepola Gunaratana,"Gunaratana, Henepola",Lauri Porceddu,"=""0861713214""","=""9780861713219""",2,4.16,Wisdom Publications,Paperback,208.0,1996.0,1992.0,2021/06/19,2016/02/27,,,read,,,,1,0,https://m.media-amazon.com/images/S/compressed.photo.goodreads.com/books/1385189327i/64369.jpg,images/book-cover/0861713214.jpg
56668328,"The Bomber Mafia: A Dream, a Temptation, and the Longest Night of the Second World War",Malcolm Gladwell,"Gladwell, Malcolm",,"=""0316296619""","=""9780316296618""",5,4.02,"Little, Brown and Company",Hardcover,256.0,2021.0,2021.0,2021/06/16,2021/06/07,,,read,"Listening to the audio book is such a delightful experience. Such an engaging narration (by the author himself) and the audio design is amazing. I felt listening to a well produced documentary. <br/><br/>And as usual, brilliant writing by Malcom Gladwell. ",,,1,0,https://m.media-amazon.com/images/S/compressed.photo.goodreads.com/books/1616422126i/56668328.jpg,images/book-cover/0316296619.jpg
13170496,മതിലുകള്‍ | Mathilukal,Vaikom Muhammad Basheer,"Basheer, Vaikom Muhammad",,"=""""","=""""",5,4.19,DC Books,Paperback,64.0,1983.0,1965.0,2021/06/08,2017/07/16,,,read,,,,1,0,,
13530973,Antifragile: Things That Gain from Disorder,Nassim Nicholas Taleb,"Taleb, Nassim Nicholas",,"=""1400067820""","=""9781400067824""",5,4.1,Random House,Hardcover,426.0,2012.0,2012.0,2021/06/07,2019/09/26,,,read,,,,1,0,https://m.media-amazon.com/images/S/compressed.photo.goodreads.com/books/1352422827i/13530973.jpg,images/book-cover/1400067820.jpg
11162896,ഒരു ദേശത്തിന്റെ കഥ | Oru Desathinte Katha,S.K. Pottekkatt,"Pottekkatt, S.K.",,"=""8171305709""","=""9788171305704""",5,4.21,ഡി സി ബുക്സ്,Paperback,566.0,,1971.0,2021/06/04,2021/05/17,,,read,,,,1,0,https://m.media-amazon.com/images/S/compressed.photo.goodreads.com/books/1328072891i/11162896.jpg,images/book-cover/8171305709.jpg
39705601,Fill Your Funnel: Selling with Social Media,Tom Hopkins,"Hopkins, Tom","Dan Portik, Daniel Portik","=""1641462841""","=""9781641462846""",2,3.21,Made For Success Publishing,Kindle Edition,120.0,2018.0,2018.0,2021/05/17,2021/05/12,,,read,,,,1,0,https://m.media-amazon.com/images/S/compressed.photo.goodreads.com/books/1522698899i/39705601.jpg,images/book-cover/1641462841.jpg
20171352,The Lusiads,Luís de Camões,"Camões, Luís de",William Walker Atkinson,"=""0141962461""","=""9780141962467""",0,3.99,Penguin,Kindle Edition,260.0,2007.0,1572.0,,2021/05/13,to-read,to-read (#97),to-read,,,,0,0,https://m.media-amazon.com/images/S/compressed.photo.goodreads.com/books/1551628195i/20171352.jpg,images/book-cover/0141962461.jpg
